,Team,Conf,Games,Wins,ADJOE,ADJDE,Power_Rating,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,Two_PO,Two_PD,Three_PO,Three_PD,ADJ_T,WAB,Postseason,Year,avg_conf_power_rating,win_perc,wab_perc
26,Notre Dame,BE,33,25,114.6,95.1,0.8957,52.2,46.6,18.3,17.5,36.2,30.7,34.0,23.0,47.8,44.8,40.5,33.5,70.5,4.4,R32,2008,0.7853249999999998,0.7575757575757576,0.13333333333333333
27,Butler,Horz,34,30,114.2,94.9,0.8946,54.1,48.0,16.9,22.9,29.8,32.2,36.7,32.6,51.3,48.2,38.0,31.8,61.2,4.7,R32,2008,0.5589199999999999,0.8823529411764706,0.13823529411764707
28,USC,P10,33,21,109.4,90.8,0.8945,53.3,44.8,21.9,20.0,31.1,35.0,38.7,27.9,51.5,44.1,38.7,30.7,67.4,3.6,R64,2008,0.81971,0.6363636363636364,0.1090909090909091
29,Indiana,B10,33,25,114.1,94.9,0.8926,52.3,47.3,20.0,19.8,36.1,29.1,41.9,31.0,52.3,45.1,34.9,34.1,68.4,4.8,R64,2008,0.7742181818181817,0.7575757575757576,0.14545454545454545
30,New Mexico,MWC,33,24,109.6,91.6,0.8873,54.1,47.8,18.1,24.0,31.1,27.4,40.2,41.3,49.2,45.7,42.0,33.9,66.2,0.1,DIDNT_MAKE,2008,0.6466333333333334,0.7272727272727273,0.0030303030303030303
31,Ohio St.,B10,37,24,108.6,91.0,0.8839,52.5,45.4,20.4,21.4,33.3,35.6,28.2,22.1,53.6,43.6,33.7,32.0,65.9,0.4,DIDNT_MAKE,2008,0.7742181818181817,0.6486486486486487,0.010810810810810811
32,Virginia Tech,ACC,35,21,105.4,88.5,0.8813,48.8,46.5,20.9,21.5,34.6,29.0,39.0,33.7,48.0,44.1,33.7,34.1,67.6,-0.6,DIDNT_MAKE,2008,0.831125,0.6,-0.017142857142857144
33,Mississippi St.,SEC,34,23,107.8,91.1,0.8734,52.2,42.5,21.4,17.8,34.7,32.7,39.0,28.0,53.3,39.8,33.4,31.7,68.5,0.6,R32,2008,0.7867333333333333,0.6764705882352942,0.01764705882352941
34,BYU,MWC,35,27,105.9,90.0,0.8675,53.2,43.2,19.5,19.1,30.6,26.4,37.3,30.5,51.6,42.8,37.3,29.5,70.2,2.5,R64,2008,0.6466333333333334,0.7714285714285715,0.07142857142857142
35,Nebraska,B12,33,20,107.1,91.1,0.8648,51.2,47.3,20.6,23.9,32.1,30.0,38.6,32.0,51.1,42.6,34.2,36.4,63.2,-0.2,DIDNT_MAKE,2008,0.8326000000000002,0.6060606060606061,-0.006060606060606061
36,Miami FL,ACC,34,23,111.5,95.1,0.862,49.2,47.0,19.0,20.6,35.1,34.0,39.2,35.4,45.7,43.7,37.9,35.6,67.7,1.6,R32,2008,0.831125,0.6764705882352942,0.047058823529411764
